Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20260505,,1300.0,,,,,DEPOSIT
GLD,414.71,2026/05/04,16:00 EDT,-8.47,418.84,420.86,413.2801,7205884,20260330,414.0,2.0,1.5,,,,SELL
GLD,414.71,2026/05/04,16:00 EDT,-8.47,418.84,420.86,413.2801,7205884,20260324,411.0,2.0,1.5,,,,BUY
XRP-USD,1.397,2026/05/04,21:33 UTC,0.005299926,1.3875753,1.4185857,1.3841904,2698063104,20260316,1.53,32.47,,,,,BUY
XRP-USD,1.397,2026/05/04,21:33 UTC,0.005299926,1.3875753,1.4185857,1.3841904,2698063104,20251126,2.24,22.6,0.0,,,,BUY
PLUG260116C00005000,,,,,,,,,20251013,0.75,1.0,,,,,BUY
ETH-USD,2361.0,2026/05/04,21:33 UTC,36.81006,2322.4875,2394.8643,2310.7432,27011850240,20260317,2343.0,0.0425,,,,,BUY
ETH-USD,2361.0,2026/05/04,21:33 UTC,36.81006,2322.4875,2394.8643,2310.7432,27011850240,20260110,3772.0,0.0265,,,,,BUY
ETH-USD,2361.0,2026/05/04,21:33 UTC,36.81006,2322.4875,2394.8643,2310.7432,27011850240,20251011,3772.0,0.02651,0.15,,,,SELL
QBTS260116P00015000,,,,,,,,,20251107,0.4,1.0,,,,,SELL
QBTS260116P00015000,,,,,,,,,20251008,0.9,1.0,0.0,,,,BUY
RGTI,17.7,2026/05/04,16:00 EDT,0.1800003,17.52,18.6486,17.329,27765148,,,,,,,,
ZETA,18.46,2026/05/04,16:01 EDT,-0.140001,18.52,18.86,17.94,11908742,,,,,,,,
DLO,13.695,2026/05/04,16:00 EDT,-0.055000305,13.68,13.99,13.63,1085796,,,,,,,,
RCAT,11.0,2026/05/04,16:00 EDT,-0.22999954,11.08,11.28,10.86,6315786,,,,,,,,
RKT,14.01,2026/05/04,16:00 EDT,-0.63,14.6,14.785,13.97,17433512,,,,,,,,
ACHR270115C00025000,0.13,2026/05/04,11:47 EDT,0.009999998,0.2,0.2,0.13,6,20251008,2.16,1.0,0.0,,,,SELL
ACHR270115C00025000,0.13,2026/05/04,11:47 EDT,0.009999998,0.2,0.2,0.13,6,20251006,2.2,1.0,0.0,,,,BUY
OPEN260116C00010000,,,,,,,,,20251007,2.4,1.0,0.0,,,,SELL
OPEN260116C00010000,,,,,,,,,20251003,1.96,1.0,0.0,,,,BUY
SOFI270115C00040000,0.38,2026/05/04,15:44 EDT,-0.03999999,0.4,0.41,0.38,74,20251029,6.7,1.0,0.0,,,,SELL
SOFI270115C00040000,0.38,2026/05/04,15:44 EDT,-0.03999999,0.4,0.41,0.38,74,20250930,4.19,1.0,0.0,,,,BUY
RGTI260116P00020000,,,,,,,,,20251107,1.4,1.0,,,,,SELL
RGTI260116P00020000,,,,,,,,,20251006,1.75,1.0,0.0,,,,BUY
RGTI260116P00020000,,,,,,,,,20251002,1.9,1.0,0.0,,,,SELL
RGTI260116P00020000,,,,,,,,,20250925,2.6,1.0,0.0,,,,BUY
DOCU,48.45,2026/05/04,16:00 EDT,0.49000168,48.22,49.66,47.77,3181753,20251001,68.9,2.0,1.5,,,,SELL
DOCU,48.45,2026/05/04,16:00 EDT,0.49000168,48.22,49.66,47.77,3181753,20250915,81.51,2.0,0.0,,,,BUY
RCAT260116C00012000,,,,,,,,,20251017,2.6,1.0,0.0,,,,SELL
RCAT260116C00012000,,,,,,,,,20250821,1.7,1.0,0.0,,,,BUY
DLO270115C00027000,0.35,2026/04/29,10:16 EDT,0.0,0.35,0.35,0.35,1,20250905,1.5,1.0,0.0,,,,BUY
ZETA260116C00020000,,,,,,,,,20251231,1.3,1.0,1.5,,,,SELL
ZETA260116C00020000,,,,,,,,,20250909,2.25,1.0,0.0,,,,BUY
VIXM,15.84,2026/05/04,16:00 EDT,0.13,15.7,15.855,15.555,250238,20250801,17.05,6.0,1.5,,,,SELL
VIXM,15.84,2026/05/04,16:00 EDT,0.13,15.7,15.855,15.555,250238,20250717,16.94,6.0,1.5,,,,BUY
VIXY,27.72,2026/05/04,16:00 EDT,0.289999,27.35,28.23,26.705,2379920,20250801,43.93,7.0,1.5,,,,SELL
VIXY,27.72,2026/05/04,16:00 EDT,0.289999,27.35,28.23,26.705,2379920,20250729,40.97,3.0,1.5,,,,BUY
VIXY,27.72,2026/05/04,16:00 EDT,0.289999,27.35,28.23,26.705,2379920,20250701,47.36,4.0,1.5,,,,BUY
SVIX,19.03,2026/05/04,16:00 EDT,-0.209999,19.31,19.74,18.685,2682399,,,,,,,,
CLS,420.73,2026/05/04,16:00 EDT,1.80002,423.44,426.4,407.72,1640349,20250716,160.0,1.5,1.5,,,,SELL
CLS,420.73,2026/05/04,16:00 EDT,1.80002,423.44,426.4,407.72,1640349,20250128,95.01,1.5,1.5,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20260309,69000.0,0.001447,,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20251126,90396.0,5.62E-4,0.07,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20251103,116000.0,0.001057,0.17,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20251017,105000.0,9.52E-4,,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20251011,107000.0,9.35E-4,0.15,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20251011,107692.0,0.003,0.9,,,,SELL
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20250818,117467.0,8.09E-4,0.19,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20250419,85757.0,0.001164,0.2,,,,BUY
BTC-USD,80243.23,2026/05/04,21:33 UTC,1420.6953,78543.43,80526.875,78270.76,56320659456,20250110,95329.0,0.001047,0.2,,,,BUY
META,610.41,2026/05/04,16:00 EDT,1.664978,607.935,614.0,602.7501,16126242,20260115,616.0,0.5,1.5,,,,SELL
META,610.41,2026/05/04,16:00 EDT,1.664978,607.935,614.0,602.7501,16126242,20250107,616.1,0.5,1.5,,,,BUY
AMD,341.54,2026/05/04,16:00 EDT,-19.0,360.31,361.85,338.7,41513674,20251006,210.11,3.0,1.5,,,,SELL
AMD,341.54,2026/05/04,16:00 EDT,-19.0,360.31,361.85,338.7,41513674,20250114,118.78,1.0,1.5,,,,BUY
AMD,341.54,2026/05/04,16:00 EDT,-19.0,360.31,361.85,338.7,41513674,20250103,124.22,2.0,1.5,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20241226,137.92,2.0,1.5,,,,SELL
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240903,113.0,1.0,0.0,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240805,97.91,1.2,1.5,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240717,121.17,1.0,1.5,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240624,120.49,1.0,1.5,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240607,119.28,0.3,1.5,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240517,92.748,1.43,1.5,,,,BUY
NVDA,198.48,2026/05/04,16:00 EDT,0.02999878,199.54,201.73,194.74,124170649,20240209,71.183,1.07,1.5,,,,BUY
PLTR,146.03,2026/05/04,16:00 EDT,1.9599915,147.835,149.62,145.225,63559848,20240910,33.81,3.587,1.5,,,,SELL
PLTR,146.03,2026/05/04,16:00 EDT,1.9599915,147.835,149.62,145.225,63559848,20240822,32.06,3.0,0.0,,,,BUY
PLTR,146.03,2026/05/04,16:00 EDT,1.9599915,147.835,149.62,145.225,63559848,20240426,22.3,3.587,1.5,,,,BUY
SOFI,16.2,2026/05/04,16:00 EDT,-0.22999954,16.46,16.78,16.13,65866874,20241218,15.29,10.0,1.5,,,,SELL
SOFI,16.2,2026/05/04,16:00 EDT,-0.22999954,16.46,16.78,16.13,65866874,20240808,6.35,15.0,1.5,,,,BUY
SOFI,16.2,2026/05/04,16:00 EDT,-0.22999954,16.46,16.78,16.13,65866874,20240508,7.07,15.0,1.5,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20241227,431.65,1.0,1.5,,,,SELL
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20241220,422.35,1.0,1.5,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20241010,239.77,0.5,1.5,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20241003,244.31,0.5,1.5,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20240730,229.82,0.5,1.5,,,,BUY
TSLA,392.51,2026/05/04,16:00 EDT,1.6900024,390.06,394.64,384.8004,48463706,20240520,174.41,0.5,1.5,,,,BUY
AMZN,272.05,2026/05/04,16:00 EDT,3.6299744,268.995,276.1,268.822,48861402,20260210,207.75,1.0,1.5,,,,SELL
AMZN,272.05,2026/05/04,16:00 EDT,3.6299744,268.995,276.1,268.822,48861402,20250311,192.89,1.0,1.5,,,,SELL
AMZN,272.05,2026/05/04,16:00 EDT,3.6299744,268.995,276.1,268.822,48861402,20240731,185.47,1.0,1.5,,,,BUY
AMZN,272.05,2026/05/04,16:00 EDT,3.6299744,268.995,276.1,268.822,48861402,20240718,183.84,0.4,1.5,,,,BUY
AMZN,272.05,2026/05/04,16:00 EDT,3.6299744,268.995,276.1,268.822,48861402,20240515,184.25,0.6,1.5,,,,BUY
EOSE,6.38,2026/05/04,16:00 EDT,-0.069999695,6.4,6.41,6.12,14791074,20260226,6.6,30.0,1.5,,,,SELL
EOSE,6.38,2026/05/04,16:00 EDT,-0.069999695,6.4,6.41,6.12,14791074,20250718,5.87,15.0,1.5,,,,SELL
EOSE,6.38,2026/05/04,16:00 EDT,-0.069999695,6.4,6.41,6.12,14791074,20250529,4.91,20.0,1.5,,,,BUY
EOSE,6.38,2026/05/04,16:00 EDT,-0.069999695,6.4,6.41,6.12,14791074,20241107,2.82,25.0,1.5,,,,BUY
QSI,0.9715,2026/05/04,16:00 EDT,0.013300002,0.95,0.985,0.94,2861907,20250512,1.42,40.0,1.5,,,,SELL
QSI,0.9715,2026/05/04,16:00 EDT,0.013300002,0.95,0.985,0.94,2861907,20241227,3.11,30.0,1.5,,,,SELL
QSI,0.9715,2026/05/04,16:00 EDT,0.013300002,0.95,0.985,0.94,2861907,20241120,1.65,70.0,1.5,,,,BUY
QQQ,672.88,2026/05/04,16:00 EDT,-1.2999878,674.64,676.73,668.9,33803237,,,,,,,,
MSFT,413.62,2026/05/04,16:00 EDT,-0.5750122,411.55,420.78,410.8,26572430,,,,,,,,
TSM,401.61,2026/05/04,16:00 EDT,3.93997,404.515,407.7,395.2,9938256,,,,,,,,